produto,regiao,periodo,n_meses,preco_nominal_medio,preco_real_medio,variacao_pct_nominal_periodo,variacao_pct_real_periodo,variacao_pct_cambio_periodo,variacao_pct_brent_usd_periodo,variacao_pct_brent_brl_periodo
DIESEL,BR,Bolsonaro,47,4.581942454172629,6.03862891612118,85.1076965635529,46.303669824939234,40.1089689857502,36.21380096556264,90.84775214915165
DIESEL,BR,Lula,44,6.104104206659781,6.57938668354899,4.074196452933521,-11.262139331020737,-0.9137246822864986,10.39323994389707,9.384549662953923
DIESEL,CO,Bolsonaro,47,4.679559093161415,6.172323662915299,78.16652848838484,40.81757507511807,40.1089689857502,36.21380096556264,90.84775214915165
DIESEL,CO,Lula,44,6.074892205034127,6.549338732206828,2.0075991119268943,-13.024203638556031,-0.9137246822864986,10.39323994389707,9.384549662953923
DIESEL,N,Bolsonaro,47,4.909895210867531,6.478892719570485,79.11530323345129,41.56745868135039,40.1089689857502,36.21380096556264,90.84775214915165
DIESEL,N,Lula,44,6.5480391069024995,7.059043576570558,6.027047652081086,-9.597059575198886,-0.9137246822864986,10.39323994389707,9.384549662953923
DIESEL,NE,Bolsonaro,47,4.679577864726526,6.164920706521347,84.01022325435237,45.436259254488796,40.1089689857502,36.21380096556264,90.84775214915165
DIESEL,NE,Lula,44,6.1522723575737865,6.628931584964085,7.307826630297143,-8.505015721964892,-0.9137246822864986,10.39323994389707,9.384549662953923
DIESEL,S,Bolsonaro,47,4.428391005759918,5.832609080196314,89.92693037552684,50.11265024836611,40.1089689857502,36.21380096556264,90.84775214915165
DIESEL,S,Lula,44,6.036486528513742,6.506793174151519,1.2954963605249947,-13.631371187185382,-0.9137246822864986,10.39323994389707,9.384549662953923
DIESEL,SE,Bolsonaro,47,4.5204225593552385,5.9566444632592415,86.92571472037818,47.74057781466503,40.1089689857502,36.21380096556264,90.84775214915165
DIESEL,SE,Lula,44,6.029509619291474,6.499032615360227,4.216134829220275,-11.141116942303952,-0.9137246822864986,10.39323994389707,9.384549662953923
